cluster_number,predicate,predicate_description,vars,cluster_size
14,IsLogged, x is logged in y ,"x,y",3
14,LoggedIn, y is logged in s ,"y,s",3
14,LoggedIn28, z is logged in s ,"z,s",3
15,AdministrativeActivity, y is an administrative activity,y,3
15,Administrative, y is administrative,y,3
15,Administrator, x is an administrator,x,3
16,Generates, z generates x,"z,x",3
16,Generated33, y generates z,"y,z",3
16,Generates38, x generates y ,"x,y",3
17,User, x is a user,x,3
17,User69, z is a user,z,3
17,User82, x is a user,x,3
18,FlaggedForReview, x is flagged for review,x,3
18,Flagged, x is flagged,x,3
18,Flag, y is a flag,y,3
19,Subject, y is a subject,y,3
19,Subject50, x is a subject,x,3
19,Subject65, x is a subject,x,3
20,Enabled, x is enabled,x,3
20,Enabled73, x is enabled,x,3
20,Enabled48, x is enabled ,x,3
21,Records, z records y,"z,y",2
21,Tracks, x tracks y ,"x,y",2
22,URL, x is a URL,x,2
22,URL84, y is a URL,y,2
23,ThreatClassificationScore, y is a threat classification score,y,2
23,ThreatClassificationLabel, y is a threat classification label,y,2
24,Device, x is a device,x,2
24,DeviceType, y is a device type,y,2
25,Authorized, x is authorized,x,2
25,Unauthorized, y is unauthorized,y,2
26,Logged, x is logged,x,2
26,Logged15, x is logged,x,2
27,TriggeredBy, w is triggered by z ,"w,z",2
27,Triggered, x is triggered for y,"x,y",2
28,Process, x is a process,x,2
28,Process16, x is a process,x,2
29,FlaggedAsSuspicious, x is flagged as suspicious,x,2
29,Suspicious, y is suspicious,y,2
30,Contains, x contains y ,"x,y",2
30,Contains59, x contains y,"x,y",2
31,Tampering, y is tampered,y,2
31,Tampering30, x is tampered,x,2
32,ExtractsFeatureFrom, x extracts feature y from z ,"x,y,z",2
32,ExtractsFrom, x extracts y from z ,"x,y,z",2
33,Validated, y is validated,y,2
33,Valid, y is valid,y,2
34,Endpoint, x is an endpoint,x,2
34,Endpoint86, x is an endpoint,x,2
35,Recorded, x is recorded,x,2
35,Recorded19, y is recorded ,y,2
36,PartOf, y is part of z ,"y,z",2
36,PartOf61, y is part of x ,"y,x",2
37,Host, y is a host,y,2
37,Host40, x is a host,x,2
38,Source, y is a source,y,2
38,EventSource, x is an event source,x,2
39,PassivelyCapturedFrom, x is passively captured from y ,"x,y",2
39,CapturedFrom, x is captured from y ,"x,y",2
40,PropertiesExtracted, properties of x have been extracted,x,2
40,PropertiesAnalyzed, properties of x have been analyzed,x,2
41,ReputationQuery, x is a reputation query,x,2
41,ReputationSource, y is a reputation source,y,2
42,ResultOf, y is the result of x ,"y,x",2
42,ResultOf26, z is the result of y ,"z,y",2
43,AggregatesStatistics, w aggregates statistics across x,"w,x",2
43,ComputesStatistics, w computes statistics across x,"w,x",2
44,Facility, z is a facility,z,2
44,PhysicalFacility, y is a physical facility,y,2
45,GrantsAccess, x grants access to y for z,"x,y,z",2
45,DeniesAccess, x denies access to y for z,"x,y,z",2
46,Detected31, y detects x,"y,x",2
46,Detects, x detects y,"x,y",2
47,AnalysisTool, x is an analysis tool,x,2
47,LogAnalysisTool, x is a log analysis tool,x,2
48,Has, x has y ,"x,y",2
48,Has58, w has x,"w,x",2
49,InFormat, w is in format x ,"w,x",2
49,ContentInForm, y is in form z ,"y,z",2
50,DigitalSignature, y is a digital signature,y,2
50,Signature, w is a signature,w,2
51,ContainsDigitalSignature, x contains y as a digital signature,"x, y",2
51,ReferencesDigitalSignature, x references y as a digital signature,"x, y",2
52,DNSQuery, y is a DNS query,y,2
52,DNSQuery51, x is a DNS query,x,2
53,ForDomain, y is for z ,"y,z",2
53,ForSubdomain, y is for w ,"y,w",2
54,CommunicationCommunity, y is a communication community,y,2
54,Identifying, w is identifying a communication community,w,2
55,HasAccessTo, x has access to y ,"x,y",2
55,HasAccessTo76, x has access to y ,"x,y",2
56,Configured, y is configured,y,2
56,Configured72, x is configured,x,2
57,AvailableOn, x is available on y ,"x,y",2
57,Available83, x has y available,"x,y",2
58,ConfiguredToGenerateHeartbeat, x is configured to generate heartbeat messages,x,2
58,ConfiguredToTransmitHeartbeatSecurely, x is configured to transmit heartbeat messages securely,x,2
59,HashOf, y is the hash of x,"x, y",1
60,MalwareHash, z is a known malware hash,z,1
61,Matches, y matches z,"y, z",1
62,ClassifiedAsMalware, x is classified as malware,x,1
63,RecordedInLog, x records y in z ,"x,y,z",1
64,Established, x is established,x,1
65,AccessEvent, y is an access event,y,1
66,RelatedTo, y is related to x,"y,x",1
67,AuditLog, z is an audit log,z,1
68,Timestamp, w is a timestamp,w,1
69,AssociatedWith, y is associated with w,"y,w",1
70,AssignedTo, y is assigned to x ,"y,x",1
71,MatchFoundBy, y is a match found by x,y,1
72,DetectionLog, z is a detection log,z,1
73,GeneratedBy, z is generated by x,"z,x",1
74,ShadowCallStack, z is a shadow call stack,z,1
75,MismatchCount, w is a mismatch count,w,1
76,Updates, w is updated,w,1
77,Between, w is mismatch count between y and z,"w,y,z",1
78,ComparedForConsistency, x and y have been compared for consistency,"x,y",1
79,LAN, y is a LAN,y,1
80,AllowedConnection, x is allowed to connect to y ,"x,y",1
81,Authenticated, x is authenticated,x,1
82,Blocked, x is blocked,x,1
83,Quarantined, x is quarantined,x,1
84,ConversionProcess, x is a conversion process,x,1
85,SourceFormat, y is a source format,y,1
86,SourceOfConversion, y is a source format of x ,"x,y",1
87,TargetFormat, z is a target format,z,1
88,TargetOfConversion, z is a target format of x ,"x,z",1
89,RuleAppliedTo, w is a rule applied to x ,"w,x",1
90,Firmware, y is a firmware,y,1
91,Verifies, z verifies x and y ,"z,x,y",1
92,Fails, z fails,z,1
93,Response, w is a response,w,1
94,Triggers, w is triggered ,w,1
95,ViolatesExpectedLineage, x violates expected lineage,x,1
96,Report, x is a report,x,1
97,Generated, x is generated,x,1
98,MemoryBoundaryTrackingAnalysis, y is a memory boundary tracking analysis,y,1
99,DoesNotConformToSchema, x does not conform to y ,"x,y",1
100,UnlinkedOrUnused, x is unlinked or unused,x,1
101,Discarded, x is discarded,x,1
102,ExceptionHandler, x is an exception handler,x,1
103,MemoryAddress, y is a memory address,y,1
104,Reports, x reports y ,"x,y",1
105,AdaptiveThreatMitigation, y is an adaptive threat mitigation technique,y,1
106,EnabledPostAuthentication, x enables y post-authentication,"x,y",1
107,Logged5, x is logged for y,"x,y",1
108,IndicatesCompromiseOrUnauthorizedAccess, x indicates compromise or unauthorized access,x,1
109,ClassificationResult, x is a classification result,x,1
110,RegistrySetting, x is a registry setting,x,1
111,SecurityRelevant, x is security relevant,x,1
112,Modified, x is modified,x,1
113,Detected, y detects x ,"y, x",1
114,Documents, x documents y ,"x,y",1
115,ProfilingEngine, x is a profiling engine,x,1
116,ObservedPayload, z is an observed payload,z,1
117,Feature, y is a measurable feature,y,1
118,RoutingPath, y is a routing path,y,1
119,Uses, x uses y ,"x,y",1
120,AnomalousActivityDetected,anomalous activity is detected for x,x,1
121,MetadataField, w is a metadata field,w,1
122,Checked, w is a checked field for x ,"w,x",1
123,ConsistentWithFileData, w is consistent with actual data of x ,"w,x",1
124,BehavioralProfile, x is a behavioral profile,x,1
125,DomainAccountActivity, y is domain account activity,y,1
126,NewData, z is new data,z,1
127,ForActivity, x is for activity y,"x,y",1
128,UpdatedWith, x is updated with z,"x,z",1
129,AnomalousCommunication, x is anomalous communication,x,1
130,FileSystem, y is a file system,y,1
131,ExternalDevice, z is an external device,z,1
132,RestrictsAccessTo, x restricts access to y ,"x,y",1
133,ComparesSessionStatistics, x compares session statistics across y and z ,"x,y,z",1
134,IdentifiesPattern, x identifies patterns across y and z ,"x,y,z",1
135,ScriptAnalysisResult, x is a result of a script analysis,x,1
136,Certificate, x is a certificate,x,1
137,EdgeDevice, x is an edge device,x,1
138,InboundFilteringPolicy, y is an inbound filtering policy,y,1
139,Enforces, x enforces y,"x,y",1
140,FileCreateSystemCall, x is a file creation system call,x,1
141,NonCompliant, x is non-compliant,x,1
142,Unsafe, x is unsafe,x,1
143,Safer, y is safer,y,1
144,SubstitutedWith, x is substituted with y ,"x, y",1
145,PolicyAllows, Policy explicitly allows x to interact with y ,"x,y",1
146,Interacts, x interacts with y ,"x,y",1
147,NotTampered, x has not been tampered with,x,1
148,LogsResult, x logs result y,"x,y",1
149,TimeBasedStatistic, z is a time-based statistic,z,1
150,ComputesFrom, x computes z from y ,"x,z,y",1
151,ProcessingEnvironment, y is a processing environment,y,1
152,Regular, y is regular,y,1
153,IsolatedFrom, x is isolated from y,"x,y",1
154,CandidateString, x is a candidate string,x,1
155,TrustedString, y is a trusted string,y,1
156,DeceptiveSimilarityDetected, deceptive similarity is detected between x and y ,"x,y",1
157,MatchIdentified, a match between x and y is identified ,"x,y",1
158,MetadataGrouping, x is a metadata grouping,x,1
159,ObservedRatio, x is an observed ratio,x,1
160,SignificantDeviation, deviation between x and y is significant,"x,y",1
161,FlaggedAsAnomaly, x is flagged as anomaly,x,1
162,StartupEntry, x is a startup entry,x,1
163,ThreatSignature, y is a threat signature,y,1
164,CorrelatedWith, x is correlated with y ,"x,y",1
165,UnexpectedChange, x has unexpected change,x,1
166,Metric, y is a metric,y,1
167,IPC, z is IPC traffic,z,1
168,AuthenticationEvent, y is an authentication event,y,1
169,Threshold, z is a threshold,z,1
170,Evaluated, x evaluated y,"x,y",1
171,Exceeds, y exceeds z ,"y,z",1
172,Extracted, w is extracted,w,1
173,PassedTo, w is passed to x,"w,x",1
174,AnalysisWindow, y is an analysis window,y,1
175,ComputesRatio, x computes the ratio of downloaded to uploaded data during y ,"x,y",1
176,NetworkTraffic, y is network traffic,y,1
177,Routable, y is routable,y,1
178,Format, x is a format,x,1
179,ContentScanningEngine, y is a content scanning engine,y,1
180,CanParseAndInspect, y can parse and inspect x ,"y,x",1
181,UsableForAuthenticityCheck, y can be used for authenticity check,y,1
182,AuthenticationEventLogsAvailable, authentication event logs are available from x ,x,1
183,Element, x is an element,x,1
184,DefinesRemovalOf, w defines removal of x ,"w,x",1
185,CredentialRelatedMemoryDump, x is a credential-related memory dump,x,1
186,Accessible, x is accessible,x,1
187,PacketInspection, x is packet inspection,x,1
188,MonitorsTrafficFlows, x monitors traffic flows,x,1
189,ActivelyResolving, x is actively resolving y ,"x,y",1
190,SessionManagementPolicy, y is a session management policy,y,1
191,Enforces47, x enforces y ,"x, y",1
192,RoutingPolicy, x is a routing policy,x,1
193,Traffic, y is traffic,y,1
194,SecurePath, z is a secure path,z,1
195,DirectsThrough, x directs y through z ,"x,y,z",1
196,SecurityModule, x is a security module,x,1
197,Performs, x performs y ,"x,y",1
198,DurationMeasurable, the duration of x is measurable,x,1
199,Credential, y is a credential,y,1
200,AccessControlSystem, z is an access control system,z,1
201,Possesses, x possesses y ,"x,y",1
202,RecognizedBy, y is recognized by z ,"y,z",1
203,IssuedFor, x is issued for y ,"x,y",1
204,SupportsLogicFor, x supports logic for w ,"x,w",1
205,Clustering, w is clustering a communication community,w,1
206,Scan, z is a scan,z,1
207,Proceeds, z proceeds,z,1
208,LoadedInto, x is loaded into y ,"x,y",1
209,Form, z is a form,z,1
210,FormAllowsInspection, z allows inspection,z,1
211,HistoricalData, z is historical data,z,1
212,CanCreateFrom, x can create y from z ,"x, y, z",1
213,AuthenticationMechanism, y is an authentication mechanism,y,1
214,Active, y is active,y,1
215,HasAuthenticationMechanism, x has authentication mechanism y ,"x,y",1
216,CanonicalFormatOrSchema, x is a canonical format or schema,x,1
217,Defined, x is defined,x,1
218,Allows, x allows y,"x,y",1
219,SpecifiesReconstruction, x specifies how z is reconstructed,"x,z",1
220,Kernel, x is a kernel,x,1
221,NativeFeature, y is a native feature,y,1
222,Implements, x implements y ,"x,y",1
223,ProvidesProcessIsolation, y provides process isolation ,y,1
224,IPToGeolocationResolutionEnabled, IP-to-geolocation resolution is enabled in x ,x,1
225,List, x is a list,x,1
226,CriticalSystemFile, y is a critical system file,y,1
227,NetworkActivity, y is a network activity,y,1
228,SystemActivity, y is a system activity,y,1
229,ObservedFrom, x is observed from y ,"x,y",1
230,Application, x is an application,x,1
231,ExecutionContext, y is an execution context,y,1
232,EnforcesSeparation, x enforces separation for y ,"x,y",1
233,FileSystemActivity, x is related to file system activity,x,1
234,LoggingEnabled, logging of x is enabled,x,1
235,MonitoringEnabled, monitoring of x is enabled,x,1
236,ServiceBinaryFile, x is a service binary file,x,1
237,ExistsOn, x exists on y,"x,y",1
238,Sandbox, y is a sandbox,y,1
239,SystemObservability, x is a system observability mechanism,x,1
240,EnabledIn, x is enabled in y,"x,y",1
241,RecordBehavior, x records behavior,x,1
242,CryptographicHashFunction, x is a cryptographic hash function,x,1
243,FunctionalitySupportedBy, x supports functionality y ,"x,y",1
244,ReadsLeadingBytes, y reads the leading bytes of z ,"y,z",1
245,ComparesWithExpectedValue, y compares z with expected value w ,"y,z,w",1
246,MagicNumber, w is a magic number ,w,1
247,Request, z is a request,z,1
248,Time, w is a time,w,1
249,InitiatesRequest, x initiates request z,"x,z",1
250,RequestForAccessTo, request z is for access to y,"z,y",1
251,AtTime, request z occurs at w,"z,w",1
252,TypicalRPCOperation, y describes typical RPC operation(s),y,1
253,Maintains, x maintains y,"x,y",1
254,FirewallService, x is a firewall service,x,1
255,Hardened, x is hardened,x,1
256,ConfigurationChange, y is a configuration change,y,1
257,HasPolicyOrRuleSet, x has policy or rule set y,"x,y",1
258,Group, z is a group,z,1
259,SpecifiesAccess, y specifies access for z,"y,z",1
260,Protocol, y is a protocol,y,1
261,Recognizes, x recognizes y ,"x,y",1
262,ForensicTool, x is a forensic tool,x,1
263,AnalyzesMemory, x is able to analyze memory,x,1
264,AnalyzesDisk, x is able to analyze disk contents,x,1
265,JobMonitoring, x is job monitoring,x,1
266,ConfiguredToAllowAccessToExternalReputationServices, y is configured to allow access to external reputation services,y,1
267,FileFormatSpecification, y is a file format specification,y,1
268,FilteringDevice, x is a filtering device,x,1
269,Inbound, y is inbound,y,1
270,CanObserveSourceIP, x can observe the source IP of y ,"x,y",1
271,Defines, x defines y ,"x,y",1
272,Deploys, x deploys y ,"x,y",1
273,DeterminesDenial, y determines z is denied,"y,z",1
274,DeniedExecution, z is denied execution,z,1
275,Hash, x is a hash,x,1
276,CanLookup, y can look up x ,"y,x",1
277,AllowList, x is an allow list,x,1
278,DenyList, x is a deny list,x,1
279,ConfiguredFor, x is configured for y OR x is configured for z,"x,y / x,z",1
280,IndirectBranchInstruction, x is an indirect branch instruction,x,1
281,ExecutionTraceAvailable, execution trace of x is available,x,1
282,DetectsChanges, x detects changes,x,1
283,InfrastructureComponent, x is an infrastructure component,x,1
284,SupportsBroadcastIsolation, x supports broadcast isolation features,x,1
285,DetectedAsHarmful, x is detected as potentially harmful,x,1
286,DetectedAsPolicyViolating, x is detected as policy-violating,x,1
287,TypicalResourceAccessActivity, y describes typical resource access activity for x ,"y,x",1
288,EncryptionMechanism, y is an encryption mechanism,y,1
289,Key, y is a key,y,1
290,Initialized, x has y initialized,"x,y",1
291,Captures, x captures y,"x,y",1
292,Receives, x receives y,"x,y",1
293,MessageIntegrityEnabled, x has message integrity mechanisms enabled,x,1
