cluster_number,predicate,predicate_description,vars,cluster_size,cluster_predicate,cluster_description
45,RelatedTo, y is related to x,"y,x",1,RelatedTo, y is related to x
46,AuditLog, z is an audit log,z,1,AuditLog, z is an audit log
47,Records, z records y,"z,y",1,Records, z records y
48,Timestamp, w is a timestamp,w,1,Timestamp, w is a timestamp
49,AssociatedWith, y is associated with w,"y,w",1,AssociatedWith, y is associated with w
50,ThreatClassificationScore, y is a threat classification score,y,1,ThreatClassificationScore, y is a threat classification score
51,ThreatClassificationLabel, y is a threat classification label,y,1,ThreatClassificationLabel, y is a threat classification label
52,AssignedTo, y is assigned to x ,"y,x",1,AssignedTo, y is assigned to x 
53,MatchFoundBy, y is a match found by x,y,1,MatchFoundBy, y is a match found by x
54,DetectionLog, z is a detection log,z,1,DetectionLog, z is a detection log
55,GeneratedBy, z is generated by x,"z,x",1,GeneratedBy, z is generated by x
56,ShadowCallStack, z is a shadow call stack,z,1,ShadowCallStack, z is a shadow call stack
57,MismatchCount, w is a mismatch count,w,1,MismatchCount, w is a mismatch count
58,Updates, w is updated,w,1,Updates, w is updated
59,Between, w is mismatch count between y and z,"w,y,z",1,Between, w is mismatch count between y and z
60,ComparedForConsistency, x and y have been compared for consistency,"x,y",1,ComparedForConsistency, x and y have been compared for consistency
61,Device, x is a device,x,1,Device, x is a device
62,LAN, y is a LAN,y,1,LAN, y is a LAN
63,AllowedConnection, x is allowed to connect to y ,"x,y",1,AllowedConnection, x is allowed to connect to y 
64,Authenticated, x is authenticated,x,1,Authenticated, x is authenticated
65,Authorized, x is authorized,x,1,Authorized, x is authorized
66,Blocked, x is blocked,x,1,Blocked, x is blocked
67,Quarantined, x is quarantined,x,1,Quarantined, x is quarantined
68,ConversionProcess, x is a conversion process,x,1,ConversionProcess, x is a conversion process
69,SourceFormat, y is a source format,y,1,SourceFormat, y is a source format
70,SourceOfConversion, y is a source format of x ,"x,y",1,SourceOfConversion, y is a source format of x 
71,TargetFormat, z is a target format,z,1,TargetFormat, z is a target format
72,TargetOfConversion, z is a target format of x ,"x,z",1,TargetOfConversion, z is a target format of x 
73,RuleAppliedTo, w is a rule applied to x ,"w,x",1,RuleAppliedTo, w is a rule applied to x 
74,Firmware, y is a firmware,y,1,Firmware, y is a firmware
75,Verifies, z verifies x and y ,"z,x,y",1,Verifies, z verifies x and y 
76,Fails, z fails,z,1,Fails, z fails
77,Response, w is a response,w,1,Response, w is a response
78,Triggers, w is triggered ,w,1,Triggers, w is triggered 
79,ViolatesExpectedLineage, x violates expected lineage,x,1,ViolatesExpectedLineage, x violates expected lineage
80,FlaggedAsSuspicious, x is flagged as suspicious,x,1,FlaggedAsSuspicious, x is flagged as suspicious
81,Report, x is a report,x,1,Report, x is a report
82,Generated, x is generated,x,1,Generated, x is generated
83,MemoryBoundaryTrackingAnalysis, y is a memory boundary tracking analysis,y,1,MemoryBoundaryTrackingAnalysis, y is a memory boundary tracking analysis
84,ContentElement, x is a content element,x,1,ContentElement, x is a content element
85,DoesNotConformToSchema, x does not conform to y ,"x,y",1,DoesNotConformToSchema, x does not conform to y 
86,UnlinkedOrUnused, x is unlinked or unused,x,1,UnlinkedOrUnused, x is unlinked or unused
87,Discarded, x is discarded,x,1,Discarded, x is discarded
88,ExceptionHandler, x is an exception handler,x,1,ExceptionHandler, x is an exception handler
89,MemoryAddress, y is a memory address,y,1,MemoryAddress, y is a memory address
90,Reports, x reports y ,"x,y",1,Reports, x reports y 
91,AdaptiveThreatMitigation, y is an adaptive threat mitigation technique,y,1,AdaptiveThreatMitigation, y is an adaptive threat mitigation technique
92,EnabledPostAuthentication, x enables y post-authentication,"x,y",1,EnabledPostAuthentication, x enables y post-authentication
93,Logged5, x is logged for y,"x,y",1,Logged5, x is logged for y
94,IndicatesCompromiseOrUnauthorizedAccess, x indicates compromise or unauthorized access,x,1,IndicatesCompromiseOrUnauthorizedAccess, x indicates compromise or unauthorized access
95,ClassificationResult, x is a classification result,x,1,ClassificationResult, x is a classification result
96,IsLogged, x is logged in y ,"x,y",1,IsLogged, x is logged in y 
97,RegistrySetting, x is a registry setting,x,1,RegistrySetting, x is a registry setting
98,SecurityRelevant, x is security relevant,x,1,SecurityRelevant, x is security relevant
99,Modified, x is modified,x,1,Modified, x is modified
100,Detected, y detects x ,"y, x",1,Detected, y detects x 
101,AdministrativeActivity, y is an administrative activity,y,1,AdministrativeActivity, y is an administrative activity
102,Suspicious, y is suspicious,y,1,Suspicious, y is suspicious
103,Documents, x documents y ,"x,y",1,Documents, x documents y 
104,ProfilingEngine, x is a profiling engine,x,1,ProfilingEngine, x is a profiling engine
105,ObservedPayload, z is an observed payload,z,1,ObservedPayload, z is an observed payload
106,Feature, y is a measurable feature,y,1,Feature, y is a measurable feature
107,ExtractsFeatureFrom, x extracts feature y from z ,"x,y,z",1,ExtractsFeatureFrom, x extracts feature y from z 
108,RoutingPath, y is a routing path,y,1,RoutingPath, y is a routing path
109,Uses, x uses y ,"x,y",1,Uses, x uses y 
110,Secure, y is secure,y,1,Secure, y is secure
111,Validated, y is validated,y,1,Validated, y is validated
112,AnomalousActivityDetected,anomalous activity is detected for x,x,1,AnomalousActivityDetected,anomalous activity is detected for x
113,FlaggedForReview, x is flagged for review,x,1,FlaggedForReview, x is flagged for review
114,MetadataField, w is a metadata field,w,1,MetadataField, w is a metadata field
115,Checked, w is a checked field for x ,"w,x",1,Checked, w is a checked field for x 
116,ConsistentWithFileData, w is consistent with actual data of x ,"w,x",1,ConsistentWithFileData, w is consistent with actual data of x 
117,BehavioralProfile, x is a behavioral profile,x,1,BehavioralProfile, x is a behavioral profile
118,DomainAccountActivity, y is domain account activity,y,1,DomainAccountActivity, y is domain account activity
119,NewData, z is new data,z,1,NewData, z is new data
120,ForActivity, x is for activity y,"x,y",1,ForActivity, x is for activity y
121,UpdatedWith, x is updated with z,"x,z",1,UpdatedWith, x is updated with z
122,AnomalousCommunication, x is anomalous communication,x,1,AnomalousCommunication, x is anomalous communication
123,Alerted, x is alerted,x,1,Alerted, x is alerted
124,FileSystem, y is a file system,y,1,FileSystem, y is a file system
125,ExternalDevice, z is an external device,z,1,ExternalDevice, z is an external device
126,RestrictsAccessTo, x restricts access to y ,"x,y",1,RestrictsAccessTo, x restricts access to y 
127,ComparesSessionStatistics, x compares session statistics across y and z ,"x,y,z",1,ComparesSessionStatistics, x compares session statistics across y and z 
128,IdentifiesPattern, x identifies patterns across y and z ,"x,y,z",1,IdentifiesPattern, x identifies patterns across y and z 
129,ScriptAnalysisResult, x is a result of a script analysis,x,1,ScriptAnalysisResult, x is a result of a script analysis
130,Certificate, x is a certificate,x,1,Certificate, x is a certificate
131,Source, y is a source,y,1,Source, y is a source
132,PassivelyCapturedFrom, x is passively captured from y ,"x,y",1,PassivelyCapturedFrom, x is passively captured from y 
133,EdgeDevice, x is an edge device,x,1,EdgeDevice, x is an edge device
134,InboundFilteringPolicy, y is an inbound filtering policy,y,1,InboundFilteringPolicy, y is an inbound filtering policy
135,Enforces, x enforces y,"x,y",1,Enforces, x enforces y
136,FileCreateSystemCall, x is a file creation system call,x,1,FileCreateSystemCall, x is a file creation system call
137,PropertiesExtracted, properties of x have been extracted,x,1,PropertiesExtracted, properties of x have been extracted
138,PropertiesAnalyzed, properties of x have been analyzed,x,1,PropertiesAnalyzed, properties of x have been analyzed
139,NonCompliant, x is non-compliant,x,1,NonCompliant, x is non-compliant
140,Unsafe, x is unsafe,x,1,Unsafe, x is unsafe
141,Safer, y is safer,y,1,Safer, y is safer
142,SubstitutedWith, x is substituted with y ,"x, y",1,SubstitutedWith, x is substituted with y 
143,PolicyAllows, Policy explicitly allows x to interact with y ,"x,y",1,PolicyAllows, Policy explicitly allows x to interact with y 
144,Interacts, x interacts with y ,"x,y",1,Interacts, x interacts with y 
145,SessionData, x is session data,x,1,SessionData, x is session data
146,NotTampered, x has not been tampered with,x,1,NotTampered, x has not been tampered with
147,ReputationQuery, x is a reputation query,x,1,ReputationQuery, x is a reputation query
148,LogsResult, x logs result y,"x,y",1,LogsResult, x logs result y
149,NetworkSessionData, y is network session data,y,1,NetworkSessionData, y is network session data
150,TimeBasedStatistic, z is a time-based statistic,z,1,TimeBasedStatistic, z is a time-based statistic
151,ComputesFrom, x computes z from y ,"x,z,y",1,ComputesFrom, x computes z from y 
152,Flagged, x is flagged,x,1,Flagged, x is flagged
153,ProcessingEnvironment, y is a processing environment,y,1,ProcessingEnvironment, y is a processing environment
154,Regular, y is regular,y,1,Regular, y is regular
155,IsolatedFrom, x is isolated from y,"x,y",1,IsolatedFrom, x is isolated from y
156,CandidateString, x is a candidate string,x,1,CandidateString, x is a candidate string
157,TrustedString, y is a trusted string,y,1,TrustedString, y is a trusted string
158,DeceptiveSimilarityDetected, deceptive similarity is detected between x and y ,"x,y",1,DeceptiveSimilarityDetected, deceptive similarity is detected between x and y 
159,MatchIdentified, a match between x and y is identified ,"x,y",1,MatchIdentified, a match between x and y is identified 
160,MetadataGrouping, x is a metadata grouping,x,1,MetadataGrouping, x is a metadata grouping
161,AggregatesStatistics, w aggregates statistics across x,"w,x",1,AggregatesStatistics, w aggregates statistics across x
162,ComputesStatistics, w computes statistics across x,"w,x",1,ComputesStatistics, w computes statistics across x
163,Facility, z is a facility,z,1,Facility, z is a facility
164,GrantsAccess, x grants access to y for z,"x,y,z",1,GrantsAccess, x grants access to y for z
165,DeniesAccess, x denies access to y for z,"x,y,z",1,DeniesAccess, x denies access to y for z
166,ObservedRatio, x is an observed ratio,x,1,ObservedRatio, x is an observed ratio
167,SignificantDeviation, deviation between x and y is significant,"x,y",1,SignificantDeviation, deviation between x and y is significant
168,FlaggedAsAnomaly, x is flagged as anomaly,x,1,FlaggedAsAnomaly, x is flagged as anomaly
169,VerificationResult, z is a verification result,z,1,VerificationResult, z is a verification result
170,Log27, s is a log,s,1,Log27, s is a log
171,StartupEntry, x is a startup entry,x,1,StartupEntry, x is a startup entry
172,ThreatSignature, y is a threat signature,y,1,ThreatSignature, y is a threat signature
173,CorrelatedWith, x is correlated with y ,"x,y",1,CorrelatedWith, x is correlated with y 
174,UnexpectedChange, x has unexpected change,x,1,UnexpectedChange, x has unexpected change
175,Metric, y is a metric,y,1,Metric, y is a metric
176,IPC, z is IPC traffic,z,1,IPC, z is IPC traffic
177,ExtractsFrom, x extracts y from z ,"x,y,z",1,ExtractsFrom, x extracts y from z 
178,AuthenticationEvent, y is an authentication event,y,1,AuthenticationEvent, y is an authentication event
179,Threshold, z is a threshold,z,1,Threshold, z is a threshold
180,Evaluated, x evaluated y,"x,y",1,Evaluated, x evaluated y
181,Exceeds, y exceeds z ,"y,z",1,Exceeds, y exceeds z 
182,Flag, y is a flag,y,1,Flag, y is a flag
183,Extracted, w is extracted,w,1,Extracted, w is extracted
184,AnalysisTool, x is an analysis tool,x,1,AnalysisTool, x is an analysis tool
185,PassedTo, w is passed to x,"w,x",1,PassedTo, w is passed to x
186,AnalysisWindow, y is an analysis window,y,1,AnalysisWindow, y is an analysis window
187,ComputesRatio, x computes the ratio of downloaded to uploaded data during y ,"x,y",1,ComputesRatio, x computes the ratio of downloaded to uploaded data during y 
188,NetworkTraffic, y is network traffic,y,1,NetworkTraffic, y is network traffic
189,Routable, y is routable,y,1,Routable, y is routable
190,Format, x is a format,x,1,Format, x is a format
191,ContentScanningEngine, y is a content scanning engine,y,1,ContentScanningEngine, y is a content scanning engine
192,InFormat, w is in format x ,"w,x",1,InFormat, w is in format x 
193,CanParseAndInspect, y can parse and inspect x ,"y,x",1,CanParseAndInspect, y can parse and inspect x 
194,DigitalSignature, y is a digital signature,y,1,DigitalSignature, y is a digital signature
195,ContainsDigitalSignature, x contains y as a digital signature,"x, y",1,ContainsDigitalSignature, x contains y as a digital signature
196,ReferencesDigitalSignature, x references y as a digital signature,"x, y",1,ReferencesDigitalSignature, x references y as a digital signature
197,UsableForAuthenticityCheck, y can be used for authenticity check,y,1,UsableForAuthenticityCheck, y can be used for authenticity check
198,EventSource, x is an event source,x,1,EventSource, x is an event source
199,AuthenticationEventLogsAvailable, authentication event logs are available from x ,x,1,AuthenticationEventLogsAvailable, authentication event logs are available from x 
200,Policy, w is a policy,w,1,Policy, w is a policy
201,Signature, w is a signature,w,1,Signature, w is a signature
202,Element, x is an element,x,1,Element, x is an element
203,DefinesRemovalOf, w defines removal of x ,"w,x",1,DefinesRemovalOf, w defines removal of x 
204,CredentialRelatedMemoryDump, x is a credential-related memory dump,x,1,CredentialRelatedMemoryDump, x is a credential-related memory dump
205,Accessible, x is accessible,x,1,Accessible, x is accessible
206,PacketInspection, x is packet inspection,x,1,PacketInspection, x is packet inspection
207,MonitorsTrafficFlows, x monitors traffic flows,x,1,MonitorsTrafficFlows, x monitors traffic flows
208,Subdomain, w is a subdomain,w,1,Subdomain, w is a subdomain
209,ActivelyResolving, x is actively resolving y ,"x,y",1,ActivelyResolving, x is actively resolving y 
210,SessionManagementPolicy, y is a session management policy,y,1,SessionManagementPolicy, y is a session management policy
211,Enforces47, x enforces y ,"x, y",1,Enforces47, x enforces y 
212,RoutingPolicy, x is a routing policy,x,1,RoutingPolicy, x is a routing policy
213,Traffic, y is traffic,y,1,Traffic, y is traffic
214,SecurePath, z is a secure path,z,1,SecurePath, z is a secure path
215,DirectsThrough, x directs y through z ,"x,y,z",1,DirectsThrough, x directs y through z 
216,SecurityModule, x is a security module,x,1,SecurityModule, x is a security module
217,CryptographicVerification, y is a cryptographic verification,y,1,CryptographicVerification, y is a cryptographic verification
218,Performs, x performs y ,"x,y",1,Performs, x performs y 
219,DurationMeasurable, the duration of x is measurable,x,1,DurationMeasurable, the duration of x is measurable
220,Credential, y is a credential,y,1,Credential, y is a credential
221,AccessControlSystem, z is an access control system,z,1,AccessControlSystem, z is an access control system
222,Possesses, x possesses y ,"x,y",1,Possesses, x possesses y 
223,Valid, y is valid,y,1,Valid, y is valid
224,RecognizedBy, y is recognized by z ,"y,z",1,RecognizedBy, y is recognized by z 
225,IssuedFor, x is issued for y ,"x,y",1,IssuedFor, x is issued for y 
226,CommunicationCommunity, y is a communication community,y,1,CommunicationCommunity, y is a communication community
227,SupportsLogicFor, x supports logic for w ,"x,w",1,SupportsLogicFor, x supports logic for w 
228,Clustering, w is clustering a communication community,w,1,Clustering, w is clustering a communication community
229,Identifying, w is identifying a communication community,w,1,Identifying, w is identifying a communication community
230,Scan, z is a scan,z,1,Scan, z is a scan
231,Proceeds, z proceeds,z,1,Proceeds, z proceeds
232,RuleSet, x is a rule set,x,1,RuleSet, x is a rule set
233,RuleEngine, y is a rule engine,y,1,RuleEngine, y is a rule engine
234,LoadedInto, x is loaded into y ,"x,y",1,LoadedInto, x is loaded into y 
235,Form, z is a form,z,1,Form, z is a form
236,ContentInForm, y is in form z ,"y,z",1,ContentInForm, y is in form z 
237,FormAllowsInspection, z allows inspection,z,1,FormAllowsInspection, z allows inspection
238,BaselineBehaviorModel, y is a baseline behavior model,y,1,BaselineBehaviorModel, y is a baseline behavior model
239,HistoricalData, z is historical data,z,1,HistoricalData, z is historical data
240,CanCreateFrom, x can create y from z ,"x, y, z",1,CanCreateFrom, x can create y from z 
241,WebSystem, x is a web system,x,1,WebSystem, x is a web system
242,AuthenticationMechanism, y is an authentication mechanism,y,1,AuthenticationMechanism, y is an authentication mechanism
243,Active, y is active,y,1,Active, y is active
244,HasAuthenticationMechanism, x has authentication mechanism y ,"x,y",1,HasAuthenticationMechanism, x has authentication mechanism y 
245,CanonicalFormatOrSchema, x is a canonical format or schema,x,1,CanonicalFormatOrSchema, x is a canonical format or schema
246,Defined, x is defined,x,1,Defined, x is defined
247,Allows, x allows y,"x,y",1,Allows, x allows y
248,SpecifiesReconstruction, x specifies how z is reconstructed,"x,z",1,SpecifiesReconstruction, x specifies how z is reconstructed
249,Kernel, x is a kernel,x,1,Kernel, x is a kernel
250,NativeFeature, y is a native feature,y,1,NativeFeature, y is a native feature
251,Implements, x implements y ,"x,y",1,Implements, x implements y 
252,ProvidesProcessIsolation, y provides process isolation ,y,1,ProvidesProcessIsolation, y provides process isolation 
253,IPToGeolocationResolutionEnabled, IP-to-geolocation resolution is enabled in x ,x,1,IPToGeolocationResolutionEnabled, IP-to-geolocation resolution is enabled in x 
254,List, x is a list,x,1,List, x is a list
255,CriticalSystemFile, y is a critical system file,y,1,CriticalSystemFile, y is a critical system file
256,NetworkActivity, y is a network activity,y,1,NetworkActivity, y is a network activity
257,SystemActivity, y is a system activity,y,1,SystemActivity, y is a system activity
258,ObservedFrom, x is observed from y ,"x,y",1,ObservedFrom, x is observed from y 
259,CapturedFrom, x is captured from y ,"x,y",1,CapturedFrom, x is captured from y 
260,Application, x is an application,x,1,Application, x is an application
261,ExecutionContext, y is an execution context,y,1,ExecutionContext, y is an execution context
262,Tracks, x tracks y ,"x,y",1,Tracks, x tracks y 
263,EnforcesSeparation, x enforces separation for y ,"x,y",1,EnforcesSeparation, x enforces separation for y 
264,FileSystemActivity, x is related to file system activity,x,1,FileSystemActivity, x is related to file system activity
265,LoggingEnabled, logging of x is enabled,x,1,LoggingEnabled, logging of x is enabled
266,MonitoringEnabled, monitoring of x is enabled,x,1,MonitoringEnabled, monitoring of x is enabled
267,ServiceBinaryFile, x is a service binary file,x,1,ServiceBinaryFile, x is a service binary file
268,ToBeVerified, x is to be verified,x,1,ToBeVerified, x is to be verified
269,ExistsOn, x exists on y,"x,y",1,ExistsOn, x exists on y
270,Sandbox, y is a sandbox,y,1,Sandbox, y is a sandbox
271,SystemObservability, x is a system observability mechanism,x,1,SystemObservability, x is a system observability mechanism
272,EnabledIn, x is enabled in y,"x,y",1,EnabledIn, x is enabled in y
273,RecordBehavior, x records behavior,x,1,RecordBehavior, x records behavior
274,CryptographicHashFunction, x is a cryptographic hash function,x,1,CryptographicHashFunction, x is a cryptographic hash function
275,AvailableOn, x is available on y ,"x,y",1,AvailableOn, x is available on y 
276,FunctionalitySupportedBy, x supports functionality y ,"x,y",1,FunctionalitySupportedBy, x supports functionality y 
277,ReadsLeadingBytes, y reads the leading bytes of z ,"y,z",1,ReadsLeadingBytes, y reads the leading bytes of z 
278,ComparesWithExpectedValue, y compares z with expected value w ,"y,z,w",1,ComparesWithExpectedValue, y compares z with expected value w 
279,MagicNumber, w is a magic number ,w,1,MagicNumber, w is a magic number 
280,PhysicalFacility, y is a physical facility,y,1,PhysicalFacility, y is a physical facility
281,Request, z is a request,z,1,Request, z is a request
282,Time, w is a time,w,1,Time, w is a time
283,InitiatesRequest, x initiates request z,"x,z",1,InitiatesRequest, x initiates request z
284,RequestForAccessTo, request z is for access to y,"z,y",1,RequestForAccessTo, request z is for access to y
285,AtTime, request z occurs at w,"z,w",1,AtTime, request z occurs at w
286,TypicalRPCOperation, y describes typical RPC operation(s),y,1,TypicalRPCOperation, y describes typical RPC operation(s)
287,Maintains, x maintains y,"x,y",1,Maintains, x maintains y
288,FirewallService, x is a firewall service,x,1,FirewallService, x is a firewall service
289,Hardened, x is hardened,x,1,Hardened, x is hardened
290,ConfigurationChange, y is a configuration change,y,1,ConfigurationChange, y is a configuration change
291,Unauthorized, y is unauthorized,y,1,Unauthorized, y is unauthorized
292,PolicyOrRuleSet, y is a policy or rule set,y,1,PolicyOrRuleSet, y is a policy or rule set
293,HasPolicyOrRuleSet, x has policy or rule set y,"x,y",1,HasPolicyOrRuleSet, x has policy or rule set y
294,Group, z is a group,z,1,Group, z is a group
295,SpecifiesAccess, y specifies access for z,"y,z",1,SpecifiesAccess, y specifies access for z
296,Protocol, y is a protocol,y,1,Protocol, y is a protocol
297,Administrative, y is administrative,y,1,Administrative, y is administrative
298,Recognizes, x recognizes y ,"x,y",1,Recognizes, x recognizes y 
299,ForensicTool, x is a forensic tool,x,1,ForensicTool, x is a forensic tool
300,AnalyzesMemory, x is able to analyze memory,x,1,AnalyzesMemory, x is able to analyze memory
301,AnalyzesDisk, x is able to analyze disk contents,x,1,AnalyzesDisk, x is able to analyze disk contents
302,JobMonitoring, x is job monitoring,x,1,JobMonitoring, x is job monitoring
303,ConfiguredToAllowAccessToExternalReputationServices, y is configured to allow access to external reputation services,y,1,ConfiguredToAllowAccessToExternalReputationServices, y is configured to allow access to external reputation services
304,FileFormatSpecification, y is a file format specification,y,1,FileFormatSpecification, y is a file format specification
305,FilteringDevice, x is a filtering device,x,1,FilteringDevice, x is a filtering device
306,Inbound, y is inbound,y,1,Inbound, y is inbound
307,CanObserveSourceIP, x can observe the source IP of y ,"x,y",1,CanObserveSourceIP, x can observe the source IP of y 
