cluster_number,predicate,predicate_description,vars,cluster_size
94,IndicatesCompromiseOrUnauthorizedAccess, x indicates compromise or unauthorized access,x,1
95,ClassificationResult, x is a classification result,x,1
96,IsLogged, x is logged in y ,"x,y",1
97,RegistrySetting, x is a registry setting,x,1
98,SecurityRelevant, x is security relevant,x,1
99,Modified, x is modified,x,1
100,Detected, y detects x ,"y, x",1
101,AdministrativeActivity, y is an administrative activity,y,1
102,Suspicious, y is suspicious,y,1
103,Documents, x documents y ,"x,y",1
104,ProfilingEngine, x is a profiling engine,x,1
105,ObservedPayload, z is an observed payload,z,1
106,Feature, y is a measurable feature,y,1
107,ExtractsFeatureFrom, x extracts feature y from z ,"x,y,z",1
108,RoutingPath, y is a routing path,y,1
109,Uses, x uses y ,"x,y",1
110,Secure, y is secure,y,1
111,Validated, y is validated,y,1
112,AnomalousActivityDetected,anomalous activity is detected for x,x,1
113,FlaggedForReview, x is flagged for review,x,1
114,MetadataField, w is a metadata field,w,1
115,Checked, w is a checked field for x ,"w,x",1
116,ConsistentWithFileData, w is consistent with actual data of x ,"w,x",1
117,BehavioralProfile, x is a behavioral profile,x,1
118,DomainAccountActivity, y is domain account activity,y,1
119,NewData, z is new data,z,1
120,ForActivity, x is for activity y,"x,y",1
121,UpdatedWith, x is updated with z,"x,z",1
122,AnomalousCommunication, x is anomalous communication,x,1
123,Alerted, x is alerted,x,1
124,FileSystem, y is a file system,y,1
125,ExternalDevice, z is an external device,z,1
126,RestrictsAccessTo, x restricts access to y ,"x,y",1
127,ComparesSessionStatistics, x compares session statistics across y and z ,"x,y,z",1
128,IdentifiesPattern, x identifies patterns across y and z ,"x,y,z",1
129,ScriptAnalysisResult, x is a result of a script analysis,x,1
130,Certificate, x is a certificate,x,1
131,Source, y is a source,y,1
132,PassivelyCapturedFrom, x is passively captured from y ,"x,y",1
133,EdgeDevice, x is an edge device,x,1
134,InboundFilteringPolicy, y is an inbound filtering policy,y,1
135,Enforces, x enforces y,"x,y",1
136,FileCreateSystemCall, x is a file creation system call,x,1
137,PropertiesExtracted, properties of x have been extracted,x,1
138,PropertiesAnalyzed, properties of x have been analyzed,x,1
139,NonCompliant, x is non-compliant,x,1
140,Unsafe, x is unsafe,x,1
141,Safer, y is safer,y,1
142,SubstitutedWith, x is substituted with y ,"x, y",1
143,PolicyAllows, Policy explicitly allows x to interact with y ,"x,y",1
144,Interacts, x interacts with y ,"x,y",1
145,SessionData, x is session data,x,1
146,NotTampered, x has not been tampered with,x,1
147,ReputationQuery, x is a reputation query,x,1
148,LogsResult, x logs result y,"x,y",1
149,NetworkSessionData, y is network session data,y,1
150,TimeBasedStatistic, z is a time-based statistic,z,1
151,ComputesFrom, x computes z from y ,"x,z,y",1
152,Flagged, x is flagged,x,1
153,ProcessingEnvironment, y is a processing environment,y,1
154,Regular, y is regular,y,1
155,IsolatedFrom, x is isolated from y,"x,y",1
156,CandidateString, x is a candidate string,x,1
157,TrustedString, y is a trusted string,y,1
158,DeceptiveSimilarityDetected, deceptive similarity is detected between x and y ,"x,y",1
159,MatchIdentified, a match between x and y is identified ,"x,y",1
160,MetadataGrouping, x is a metadata grouping,x,1
161,AggregatesStatistics, w aggregates statistics across x,"w,x",1
162,ComputesStatistics, w computes statistics across x,"w,x",1
163,Facility, z is a facility,z,1
164,GrantsAccess, x grants access to y for z,"x,y,z",1
165,DeniesAccess, x denies access to y for z,"x,y,z",1
166,ObservedRatio, x is an observed ratio,x,1
167,SignificantDeviation, deviation between x and y is significant,"x,y",1
168,FlaggedAsAnomaly, x is flagged as anomaly,x,1
169,VerificationResult, z is a verification result,z,1
170,Log27, s is a log,s,1
171,StartupEntry, x is a startup entry,x,1
172,ThreatSignature, y is a threat signature,y,1
173,CorrelatedWith, x is correlated with y ,"x,y",1
174,UnexpectedChange, x has unexpected change,x,1
175,Metric, y is a metric,y,1
176,IPC, z is IPC traffic,z,1
177,ExtractsFrom, x extracts y from z ,"x,y,z",1
178,AuthenticationEvent, y is an authentication event,y,1
179,Threshold, z is a threshold,z,1
180,Evaluated, x evaluated y,"x,y",1
181,Exceeds, y exceeds z ,"y,z",1
182,Flag, y is a flag,y,1
183,Extracted, w is extracted,w,1
184,AnalysisTool, x is an analysis tool,x,1
185,PassedTo, w is passed to x,"w,x",1
186,AnalysisWindow, y is an analysis window,y,1
187,ComputesRatio, x computes the ratio of downloaded to uploaded data during y ,"x,y",1
188,NetworkTraffic, y is network traffic,y,1
189,Routable, y is routable,y,1
190,Format, x is a format,x,1
191,ContentScanningEngine, y is a content scanning engine,y,1
192,InFormat, w is in format x ,"w,x",1
193,CanParseAndInspect, y can parse and inspect x ,"y,x",1
194,DigitalSignature, y is a digital signature,y,1
195,ContainsDigitalSignature, x contains y as a digital signature,"x, y",1
196,ReferencesDigitalSignature, x references y as a digital signature,"x, y",1
197,UsableForAuthenticityCheck, y can be used for authenticity check,y,1
198,EventSource, x is an event source,x,1
199,AuthenticationEventLogsAvailable, authentication event logs are available from x ,x,1
200,Policy, w is a policy,w,1
201,Signature, w is a signature,w,1
202,Element, x is an element,x,1
203,DefinesRemovalOf, w defines removal of x ,"w,x",1
204,CredentialRelatedMemoryDump, x is a credential-related memory dump,x,1
205,Accessible, x is accessible,x,1
206,PacketInspection, x is packet inspection,x,1
207,MonitorsTrafficFlows, x monitors traffic flows,x,1
208,Subdomain, w is a subdomain,w,1
209,ActivelyResolving, x is actively resolving y ,"x,y",1
210,SessionManagementPolicy, y is a session management policy,y,1
211,Enforces47, x enforces y ,"x, y",1
212,RoutingPolicy, x is a routing policy,x,1
213,Traffic, y is traffic,y,1
214,SecurePath, z is a secure path,z,1
215,DirectsThrough, x directs y through z ,"x,y,z",1
216,SecurityModule, x is a security module,x,1
217,CryptographicVerification, y is a cryptographic verification,y,1
218,Performs, x performs y ,"x,y",1
219,DurationMeasurable, the duration of x is measurable,x,1
220,Credential, y is a credential,y,1
221,AccessControlSystem, z is an access control system,z,1
222,Possesses, x possesses y ,"x,y",1
223,Valid, y is valid,y,1
224,RecognizedBy, y is recognized by z ,"y,z",1
225,IssuedFor, x is issued for y ,"x,y",1
226,CommunicationCommunity, y is a communication community,y,1
227,SupportsLogicFor, x supports logic for w ,"x,w",1
228,Clustering, w is clustering a communication community,w,1
229,Identifying, w is identifying a communication community,w,1
230,Scan, z is a scan,z,1
231,Proceeds, z proceeds,z,1
232,RuleSet, x is a rule set,x,1
233,RuleEngine, y is a rule engine,y,1
234,LoadedInto, x is loaded into y ,"x,y",1
235,Form, z is a form,z,1
236,ContentInForm, y is in form z ,"y,z",1
237,FormAllowsInspection, z allows inspection,z,1
238,BaselineBehaviorModel, y is a baseline behavior model,y,1
239,HistoricalData, z is historical data,z,1
240,CanCreateFrom, x can create y from z ,"x, y, z",1
241,WebSystem, x is a web system,x,1
242,AuthenticationMechanism, y is an authentication mechanism,y,1
243,Active, y is active,y,1
244,HasAuthenticationMechanism, x has authentication mechanism y ,"x,y",1
245,CanonicalFormatOrSchema, x is a canonical format or schema,x,1
246,Defined, x is defined,x,1
247,Allows, x allows y,"x,y",1
248,SpecifiesReconstruction, x specifies how z is reconstructed,"x,z",1
249,Kernel, x is a kernel,x,1
250,NativeFeature, y is a native feature,y,1
251,Implements, x implements y ,"x,y",1
252,ProvidesProcessIsolation, y provides process isolation ,y,1
253,IPToGeolocationResolutionEnabled, IP-to-geolocation resolution is enabled in x ,x,1
254,List, x is a list,x,1
255,CriticalSystemFile, y is a critical system file,y,1
256,NetworkActivity, y is a network activity,y,1
257,SystemActivity, y is a system activity,y,1
258,ObservedFrom, x is observed from y ,"x,y",1
259,CapturedFrom, x is captured from y ,"x,y",1
260,Application, x is an application,x,1
261,ExecutionContext, y is an execution context,y,1
262,Tracks, x tracks y ,"x,y",1
263,EnforcesSeparation, x enforces separation for y ,"x,y",1
264,FileSystemActivity, x is related to file system activity,x,1
265,LoggingEnabled, logging of x is enabled,x,1
266,MonitoringEnabled, monitoring of x is enabled,x,1
267,ServiceBinaryFile, x is a service binary file,x,1
268,ToBeVerified, x is to be verified,x,1
269,ExistsOn, x exists on y,"x,y",1
270,Sandbox, y is a sandbox,y,1
271,SystemObservability, x is a system observability mechanism,x,1
272,EnabledIn, x is enabled in y,"x,y",1
273,RecordBehavior, x records behavior,x,1
274,CryptographicHashFunction, x is a cryptographic hash function,x,1
275,AvailableOn, x is available on y ,"x,y",1
276,FunctionalitySupportedBy, x supports functionality y ,"x,y",1
277,ReadsLeadingBytes, y reads the leading bytes of z ,"y,z",1
278,ComparesWithExpectedValue, y compares z with expected value w ,"y,z,w",1
279,MagicNumber, w is a magic number ,w,1
280,PhysicalFacility, y is a physical facility,y,1
281,Request, z is a request,z,1
282,Time, w is a time,w,1
283,InitiatesRequest, x initiates request z,"x,z",1
284,RequestForAccessTo, request z is for access to y,"z,y",1
285,AtTime, request z occurs at w,"z,w",1
286,TypicalRPCOperation, y describes typical RPC operation(s),y,1
287,Maintains, x maintains y,"x,y",1
288,FirewallService, x is a firewall service,x,1
289,Hardened, x is hardened,x,1
290,ConfigurationChange, y is a configuration change,y,1
291,Unauthorized, y is unauthorized,y,1
292,PolicyOrRuleSet, y is a policy or rule set,y,1
293,HasPolicyOrRuleSet, x has policy or rule set y,"x,y",1
294,Group, z is a group,z,1
295,SpecifiesAccess, y specifies access for z,"y,z",1
296,Protocol, y is a protocol,y,1
297,Administrative, y is administrative,y,1
298,Recognizes, x recognizes y ,"x,y",1
299,ForensicTool, x is a forensic tool,x,1
300,AnalyzesMemory, x is able to analyze memory,x,1
301,AnalyzesDisk, x is able to analyze disk contents,x,1
302,JobMonitoring, x is job monitoring,x,1
303,ConfiguredToAllowAccessToExternalReputationServices, y is configured to allow access to external reputation services,y,1
304,FileFormatSpecification, y is a file format specification,y,1
305,FilteringDevice, x is a filtering device,x,1
306,Inbound, y is inbound,y,1
307,CanObserveSourceIP, x can observe the source IP of y ,"x,y",1
308,Administrator, x is an administrator,x,1
309,Defines, x defines y ,"x,y",1
310,Deploys, x deploys y ,"x,y",1
311,DeterminesDenial, y determines z is denied,"y,z",1
312,DeniedExecution, z is denied execution,z,1
313,Hash, x is a hash,x,1
314,ReputationSource, y is a reputation source,y,1
315,CanLookup, y can look up x ,"y,x",1
316,AllowList, x is an allow list,x,1
317,DenyList, x is a deny list,x,1
318,DeviceType, y is a device type,y,1
319,ConfiguredFor, x is configured for y OR x is configured for z,"x,y / x,z",1
320,IndirectBranchInstruction, x is an indirect branch instruction,x,1
321,ExecutionTraceAvailable, execution trace of x is available,x,1
322,LogAnalysisTool, x is a log analysis tool,x,1
323,DetectsChanges, x detects changes,x,1
324,InfrastructureComponent, x is an infrastructure component,x,1
325,SupportsBroadcastIsolation, x supports broadcast isolation features,x,1
326,DetectedAsHarmful, x is detected as potentially harmful,x,1
327,DetectedAsPolicyViolating, x is detected as policy-violating,x,1
328,TypicalResourceAccessActivity, y describes typical resource access activity for x ,"y,x",1
329,EncryptionMechanism, y is an encryption mechanism,y,1
330,Key, y is a key,y,1
331,Available83, x has y available,"x,y",1
332,Initialized, x has y initialized,"x,y",1
333,Captures, x captures y,"x,y",1
334,Receives, x receives y,"x,y",1
335,MessageIntegrityEnabled, x has message integrity mechanisms enabled,x,1
