D3-CIA-SS1,(system_state) The container image is labeled with vulnerability and misconfiguration results.,Analyzing a Container Image with respect to a set of policies.
D3-MFA-I1,(input) An MFA authentication event is recorded for auditing purposes,Requiring proof of two or more pieces of evidence in order to authenticate a user.
D3-MFA-SS2,"(system_state) The user is authenticated, and an MFA-based session is established",Requiring proof of two or more pieces of evidence in order to authenticate a user.
D3-PWA-I1,(input) User has been granted access to the requested resource upon successful authentication,"Password authentication is a security mechanism used to verify the identity of a user or entity attempting to access a system or resource by requiring the input of a secret string of characters, known as a password, that is associated with the user or entity."
D3-PWA-SS2,(system_state) The system recognizes the user as successfully authenticated,"Password authentication is a security mechanism used to verify the identity of a user or entity attempting to access a system or resource by requiring the input of a secret string of characters, known as a password, that is associated with the user or entity."
D3-PWA-SS3,(system_state) The system recognizes the authentication attempt as unsuccessful,"Password authentication is a security mechanism used to verify the identity of a user or entity attempting to access a system or resource by requiring the input of a secret string of characters, known as a password, that is associated with the user or entity."
D3-PWA-SS4,(system_state) User has been denied access to the requested resource after failed authentication,"Password authentication is a security mechanism used to verify the identity of a user or entity attempting to access a system or resource by requiring the input of a secret string of characters, known as a password, that is associated with the user or entity."
D3-TBA-I1,(input) Bearer token configured for resource access,"Token-based authentication is an authentication protocol where users verify their identity in exchange for a unique access token. Users can then access the website, application, or resource for the life of the token without having to re-enter their credentials."
D3-TBA-SS2,(system_state) Access token has been issued to user,"Token-based authentication is an authentication protocol where users verify their identity in exchange for a unique access token. Users can then access the website, application, or resource for the life of the token without having to re-enter their credentials."
D3-TBA-SS3,(system_state) User authenticated successfully,"Token-based authentication is an authentication protocol where users verify their identity in exchange for a unique access token. Users can then access the website, application, or resource for the life of the token without having to re-enter their credentials."
D3-TBA-SS4,(system_state) Token lifecycle has been initiated with an expiration time,"Token-based authentication is an authentication protocol where users verify their identity in exchange for a unique access token. Users can then access the website, application, or resource for the life of the token without having to re-enter their credentials."
D3-ACH-I1,(input) The application's configuration is updated to a hardened state.,Modifying an application's configuration to reduce its attack surface.
D3-ACH-SS2,(system_state) The application runs with limited privileges and has vulnerable features disabled.,Modifying an application's configuration to reduce its attack surface.
D3-DCE-I1,(input) Unreachable segments of code are identified during static analysis.,Removing unreachable or 'dead code' from compiled source code.
D3-DCE-SS2,"(system_state) Dead code segments are removed from the final compiled binary, reducing potential attack surface.",Removing unreachable or 'dead code' from compiled source code.
D3-EHPV-I1,(input) Handler pointer is verified against the list of valid handlers.,Validates that a referenced exception handler pointer is a valid exception handler.
D3-EHPV-SS2,(system_state) Invalid handler pointer results in termination of the process.,Validates that a referenced exception handler pointer is a valid exception handler.
D3-EHPV-SS3,(system_state) Executable may be blacklisted if it references an invalid exception handler.,Validates that a referenced exception handler pointer is a valid exception handler.
D3-PAN-I1,(input) A new pointer PACPointer is created by signing pointer P using context C and key K.,Comparing the cryptographic hash or derivative of a pointer's value to an expected value.
D3-PAN-SS2,"(system_state) If a PACPointer is tampered with and fails verification, it is invalidated by the system.",Comparing the cryptographic hash or derivative of a pointer's value to an expected value.
D3-PAN-SS3,(system_state) The system gains enhanced resistance against memory tampering by validating pointer integrity using PAC.,Comparing the cryptographic hash or derivative of a pointer's value to an expected value.
D3-PSEP-I1,(input) Execution is prevented when the instruction pointer points to a non-executable segment.,Preventing execution of any address in a memory region other than the code segment.
D3-PSEP-SS2,"(system_state) Processes violating execution permissions may be terminated, logged, and constrained to executing only within explicitly marked executable segments.",Preventing execution of any address in a memory region other than the code segment.
D3-SAOR-I1,(input) The base address of a memory segment is randomized by an offset.,Randomizing the base (start) address of one or more segments of memory during the initialization of a process.
D3-SAOR-SS2,(system_state) The randomized layout increases the complexity of memory-based attacks.,Randomizing the base (start) address of one or more segments of memory during the initialization of a process.
D3-SAOR-SS3,"(system_state) PLT trampoline addresses become non-deterministic, complicating code reuse attacks.",Randomizing the base (start) address of one or more segments of memory during the initialization of a process.
D3-SFCV-I1,(input) The canary value on the stack has been compared with the system-of-record value.,Comparing a value stored in a stack frame with a known good value in order to prevent or detect a memory segment overwrite.
D3-SFCV-SS2,"(system_state) If the canary values do not match, the process may be terminated and the executable may be blacklisted.",Comparing a value stored in a stack frame with a known good value in order to prevent or detect a memory segment overwrite.
D3-CP-I1,(input) A certificate or public key for the server is stored for later identity verification,Persisting either a server's X.509 certificate or public key and comparing it to the server's presented identity during SSL handshakes to validate server authenticity and mitigate man-in-the-middle attacks.
D3-CP-SS2,(system_state) Client can verify future connections to the server using the pinned certificate or public key,Persisting either a server's X.509 certificate or public key and comparing it to the server's presented identity during SSL handshakes to validate server authenticity and mitigate man-in-the-middle attacks.
D3-PR-I1,(input) A new password is successfully set for the user account,A security policy mandating the periodic change of user account passwords to reduce the risk of unauthorized access due to credential compromise.
D3-PR-SS2,(system_state) The timestamp tracking the last password change is updated,A security policy mandating the periodic change of user account passwords to reduce the risk of unauthorized access due to credential compromise.
D3-PR-SS3,(system_state) Account is less susceptible to credential-based attacks due to recent rotation,A security policy mandating the periodic change of user account passwords to reduce the risk of unauthorized access due to credential compromise.
D3-OTP-I1,(input) The user is authenticated for one session only,A one-time password is valid for only one user authentication.
D3-OTP-SS2,(system_state) The one-time password is invalidated after use,A one-time password is valid for only one user authentication.
D3-MAN-I1,(input) A digital signature Sig is generated and appended to the message,Authenticating the sender of a message and ensuring message integrity.
D3-MAN-SS2,(system_state) Integrity of message M is verified at the recipient side,Authenticating the sender of a message and ensuring message integrity.
D3-MENCR-I1,(input) An encrypted message is produced,Encrypting a message body using a cryptographic key.
D3-MENCR-SS2,(system_state) Recipient’s private key is used to decrypt the message,Encrypting a message body using a cryptographic key.
D3-MENCR-SS3,(system_state) Private or symmetric key is securely transferred to intended device,Encrypting a message body using a cryptographic key.
D3-BA-I1,(input) The verified bootloader image is successfully executed.,Cryptographically authenticating the bootloader software before system boot.
D3-BA-SS2,(system_state) Execution of unverified or malicious bootloader is prevented.,Cryptographically authenticating the bootloader software before system boot.
D3-DENCR-I1,(input) The disk partition is now encrypted.,Encrypting a hard disk partition to prevent cleartext access to a file system.
D3-DENCR-SS2,(system_state) The encrypted disk cannot be accessed without decryption.,Encrypting a hard disk partition to prevent cleartext access to a file system.
D3-DLIC-I1,(input) The driver is successfully loaded and verified for integrity.,Ensuring the integrity of drivers loaded during initialization of the operating system.
D3-DLIC-SS2,(system_state) Drivers failing integrity checks are blocked from being loaded.,Ensuring the integrity of drivers loaded during initialization of the operating system.
D3-FE-I1,(input) The file is successfully encrypted.,Encrypting a file using a cryptographic key to protect its contents from unauthorized access.
D3-FE-SS2,(system_state) The file cannot be accessed without the appropriate cryptographic key.,Encrypting a file using a cryptographic key to protect its contents from unauthorized access.
D3-RFS-I1,(input) The platform is protected against unwanted electromagnetic interference.,Adding physical barriers to a platform to prevent undesired radio interference.
D3-RFS-SS2,(system_state) RF signal leakage from the platform is minimized or eliminated.,Adding physical barriers to a platform to prevent undesired radio interference.
D3-SU-I1,(input) The software is successfully replaced with the updated version.,Replacing old software on a computer system component with a newer version to improve security and functionality.
D3-SU-SS2,(system_state) Previously known vulnerabilities in the older software version are addressed.,Replacing old software on a computer system component with a newer version to improve security and functionality.
D3-SCP-I1,(input) Unauthorized users are prevented from modifying configuration settings.,Restricting system configuration modifications to a specific user or group of users.
D3-SCP-SS2,(system_state) System access control configurations are updated to reflect the defined permissions.,Restricting system configuration modifications to a specific user or group of users.
D3-TBI-I1,(input) Hashes of boot components are stored in the TPM’s Platform Configuration Registers.,Assuring the integrity of a platform by demonstrating that the boot process starts from a trusted combination of hardware and software and continues until the operating system has fully booted and applications are running.
D3-TBI-SS2,(system_state) The platform’s boot sequence integrity can be externally verified using attestation.,Assuring the integrity of a platform by demonstrating that the boot process starts from a trusted combination of hardware and software and continues until the operating system has fully booted and applications are running.
D3-CS-I1,(input) Hard-coded credentials are removed from the codebase and/or version history.,The systematic removal of hard-coded credentials from source code to prevent accidental exposure and unauthorized access.
D3-CS-SS2,(system_state) Exposed credentials are either revoked or rotated to maintain security.,The systematic removal of hard-coded credentials from source code to prevent accidental exposure and unauthorized access.
D3-IRV-I1,(input) The integer is accepted for use if it falls within the defined valid range.,Ensuring that an integer is within a valid range.
D3-IRV-SS2,"(system_state) If the integer is out of range, it is either rejected or adjusted accordingly.",Ensuring that an integer is within a valid range.
D3-MBSV-I1,(input) The pointer is confirmed to point to the start of the memory block.,Ensuring that a pointer accurately references the beginning of a designated memory block.
D3-MBSV-SS2,(system_state) Pointer use is blocked or corrected if it does not align with the start of the memory block.,Ensuring that a pointer accurately references the beginning of a designated memory block.
D3-NPC-I1,(input) The pointer is verified to be non-NULL and can be safely used.,Checking if a pointer is NULL before use to prevent runtime errors or crashes.
D3-NPC-SS2,(system_state) Null pointer use is blocked or handled appropriately to avoid unsafe behavior.,Checking if a pointer is NULL before use to prevent runtime errors or crashes.
D3-RN-I1,(input) All pointers referencing the freed memory block are set to NULL.,"Invalidating all pointers that reference a specific memory block, ensuring that the block cannot be accessed or modified after deallocation."
D3-RN-SS2,(system_state) The system is protected against use-after-free vulnerabilities.,"Invalidating all pointers that reference a specific memory block, ensuring that the block cannot be accessed or modified after deallocation."
D3-TL-I1,(input) The application includes only trusted and verified library code.,"A trusted library is a collection of pre-verified and secure code modules or components that are used within software applications to perform specific functions. These libraries are considered reliable and have been vetted for security vulnerabilities, ensuring they do not introduce risks into the application."
D3-TL-SS2,(system_state) Use of vetted libraries reduces the risk of introducing insecure or vulnerable code.,"A trusted library is a collection of pre-verified and secure code modules or components that are used within software applications to perform specific functions. These libraries are considered reliable and have been vetted for security vulnerabilities, ensuring they do not introduce risks into the application."
D3-VI-I1,(input) The variable is explicitly initialized with a known value.,Setting variables to a known value before use to ensure predictable behavior and avoid undefined memory access.
D3-VI-SS2,"(system_state) Use of uninitialized variables is prevented, reducing the risk of undefined behavior.",Setting variables to a known value before use to ensure predictable behavior and avoid undefined memory access.
D3-VTV-I1,(input) The variable is confirmed to match the expected type.,"Ensuring that a variable has the correct type before use to prevent logic errors, crashes, or unexpected behavior."
D3-VTV-SS2,"(system_state) The variable is corrected, flagged, or blocked if a type mismatch is detected.","Ensuring that a variable has the correct type before use to prevent logic errors, crashes, or unexpected behavior."
D3-TAAN-I1,"(input) The sender identity of the message has been successfully verified via SPF, DKIM, or DMARC.",Validating that server components of a messaging infrastructure are authorized to send a particular message.
D3-TAAN-SS2,"(system_state) DMARC policy (e.g., reject, quarantine) has been applied based on verification outcome.",Validating that server components of a messaging infrastructure are authorized to send a particular message.
D3-DA-I1,(input) A behavioral profile of the file has been generated and is available for further use.,Executing or opening a file in a synthetic 'sandbox' environment to determine if the file is a malicious program or if the file exploits another program such as a document reader.
D3-DA-SS2,(system_state) The behavior of the file during execution has been recorded by the system.,Executing or opening a file in a synthetic 'sandbox' environment to determine if the file is a malicious program or if the file exploits another program such as a document reader.
D3-EFA-I1,(input) An emulation-based behavioral profile of the file is now available for further analysis.,Emulating instructions in a file looking for specific patterns.
D3-EFA-SS2,(system_state) Instruction-level behavior and patterns have been observed and recorded through emulation.,Emulating instructions in a file looking for specific patterns.
D3-FCR-SS1,"(system_state) After scanning, the system assigns a classification such as benign, malicious, or suspicious to the file.",Employing a pattern matching rule language to analyze the content of files.
D3-FCR-SS2,(system_state) The scanning process outputs a log or alert that identifies which rules were matched during analysis.,Employing a pattern matching rule language to analyze the content of files.
D3-FCR-SS3,"(system_state) If malicious or suspicious patterns are detected, alerts are generated and optionally sent to downstream systems for further action.",Employing a pattern matching rule language to analyze the content of files.
D3-FH-SS1,"(system_state) The file is hashed, and the resulting hash value is generated.",Employing file hash comparisons to detect known malware.
D3-FH-SS2,"(system_state) If the file’s hash matches a known malware hash, it is classified accordingly.",Employing file hash comparisons to detect known malware.
D3-FH-SS3,"(system_state) If a match is found, a detection log is generated for auditing or alerting purposes.",Employing file hash comparisons to detect known malware.
D3-HD-SS1,"(system_state) If a deceptive similarity is detected between the candidate and a trusted string, the match is identified.",Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.
D3-HD-SS2,(system_state) A detection log or alert is generated for further action or investigation.,Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.
D3-HD-SS3,(system_state) The string is flagged for manual or automated review depending on the system's configured response.,Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.
D3-IAA-SS1,"(system_state) The system confirms that the identifier was found in some form of system telemetry (e.g., logs, alerts, flows).",Taking known malicious identifiers and determining if they are present in a system.
D3-IAA-SS2,(system_state) The detection of identifier activity is recorded in a log or alert format.,Taking known malicious identifiers and determining if they are present in a system.
D3-IAA-SS3,"(system_state) Any entity (file, process, IP, etc.) associated with the identifier is flagged for further review or automated response.",Taking known malicious identifiers and determining if they are present in a system.
D3-DNRA-SS1,"(system_state) The system determines whether the domain is malicious, suspicious, or benign based on reputation results.",Analyzing the reputation of a domain name.
D3-DNRA-SS2,(system_state) The result of the reputation analysis is logged for auditing or alerting purposes.,Analyzing the reputation of a domain name.
D3-DNRA-SS3,"(system_state) If deemed malicious or suspicious, the domain is flagged for further investigation or response.",Analyzing the reputation of a domain name.
D3-FHRA-SS1,"(system_state) The file hash is determined to be malicious, benign, or unknown based on the reputation source.",Analyzing the reputation of a file hash.
D3-FHRA-SS2,(system_state) The results of the reputation check are logged for traceability and alerting.,Analyzing the reputation of a file hash.
D3-FHRA-SS3,"(system_state) If the hash is deemed malicious, the related artifact (file, binary, etc.) is flagged for action.",Analyzing the reputation of a file hash.
D3-IPRA-SS1,"(system_state) The IP is classified as malicious, suspicious, or benign based on reputation analysis.",Analyzing the reputation of an IP address.
D3-IPRA-SS2,(system_state) The reputation analysis result is recorded for auditing or downstream automation.,Analyzing the reputation of an IP address.
D3-IPRA-SS3,"(system_state) If the IP is deemed malicious or suspicious, it is flagged for blocklisting or further triage.",Analyzing the reputation of an IP address.
D3-URA-SS1,(system_state) The system produces a reputation score or classification for the analyzed URL.,Analyzing the reputation of a URL.
D3-URA-SS2,(system_state) The result of the reputation query is recorded for operational awareness and downstream workflows.,Analyzing the reputation of a URL.
D3-URA-SS3,"(system_state) If the URL is suspicious or malicious, it is flagged for follow-up actions like blocking, alerting, or investigation.",Analyzing the reputation of a URL.
D3-UA-SS1,(system_state) The URL's structural and statistical properties are extracted as part of the analysis process.,Determining if a URL is benign or malicious by analyzing the URL or its components.
D3-UA-SS2,(system_state) The URL is assigned a threat classification score or label based on analytic results.,Determining if a URL is benign or malicious by analyzing the URL or its components.
D3-UA-SS3,(system_state) The result of the analysis is recorded in a log for response or auditing purposes.,Determining if a URL is benign or malicious by analyzing the URL or its components.
D3-SMRA-SS1,"(system_state) The sender MTA is labeled (e.g., trusted, suspicious, malicious) based on scoring logic.",Characterizing the reputation of mail transfer agents (MTA) to determine the security risk in emails.
D3-SMRA-SS2,"(system_state) The result of the MTA analysis is logged for future correlation, auditing, or alerting.",Characterizing the reputation of mail transfer agents (MTA) to determine the security risk in emails.
D3-SMRA-SS3,"(system_state) If the MTA is suspicious or malicious, it is flagged for further response such as email blocking or quarantine.",Characterizing the reputation of mail transfer agents (MTA) to determine the security risk in emails.
D3-SRA-SS1,"(system_state) The sender is classified into categories such as trusted, suspicious, or malicious.",Ascertaining sender reputation based on information associated with a message (e.g. email/instant messaging).
D3-SRA-SS2,"(system_state) The classification result is logged for reference, auditing, and alert correlation.",Ascertaining sender reputation based on information associated with a message (e.g. email/instant messaging).
D3-SRA-SS3,"(system_state) If the sender is assessed as suspicious or malicious, they are flagged for enforcement or further review.",Ascertaining sender reputation based on information associated with a message (e.g. email/instant messaging).
D3-ANAA-SS1,(system_state) The system identifies a deviation from baseline activity on an administrative protocol.,Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.
D3-ANAA-SS2,(system_state) A log or alert is generated documenting the suspicious administrative activity.,Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.
D3-ANAA-SS3,"(system_state) The associated endpoint, session, or user is flagged for review based on the anomalous activity.",Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.
D3-BSE-SS1,(system_state) The emulation process identifies a known shellcode pattern in the analyzed byte sequence.,Analyzing sequences of bytes and determining if they likely represent malicious shellcode.
D3-BSE-SS2,(system_state) The entire byte sequence is marked as suspicious due to detection of known shellcode-like behavior.,Analyzing sequences of bytes and determining if they likely represent malicious shellcode.
D3-BSE-SS3,(system_state) A log or alert is generated documenting the detection of the shellcode pattern.,Analyzing sequences of bytes and determining if they likely represent malicious shellcode.
D3-ACA-SS1,(system_state) A certificate is downloaded from the server through an active connection.,Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.
D3-ACA-SS2,"(system_state) The certificate is validated through checks such as signature verification, trust anchor validation, or revocation status.",Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.
D3-ACA-SS3,"(system_state) The analysis results (e.g., valid, expired, revoked, misconfigured) are logged for auditing or response actions.",Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.
D3-PCA-SS1,"(system_state) A certificate is passively captured from a source such as network flow, CT log, or DNS record.",Collecting host certificates from network traffic or other passive sources like a certificate transparency log and analyzing them for unauthorized activity.
D3-PCA-SS2,"(system_state) The certificate is analyzed and given a status such as valid, misconfigured, spoofed, or unauthorized.",Collecting host certificates from network traffic or other passive sources like a certificate transparency log and analyzing them for unauthorized activity.
D3-PCA-SS3,(system_state) The domain associated with the certificate is scored using the phishing detection model to label it benign or malicious.,Collecting host certificates from network traffic or other passive sources like a certificate transparency log and analyzing them for unauthorized activity.
D3-CSPP-SS1,"(system_state) The profiling engine extracts measurable features from observed payloads (e.g., size, entropy, timing).",Comparing client-server request and response payloads to a baseline profile to identify outliers.
D3-CSPP-SS2,"(system_state) The extracted features are compared to the baseline, and deviations are flagged as potential indicators of malicious behavior.",Comparing client-server request and response payloads to a baseline profile to identify outliers.
D3-CSPP-SS3,(system_state) A log entry or alert is created to document the outlier detection and support further investigation.,Comparing client-server request and response payloads to a baseline profile to identify outliers.
D3-CAA-SS1,(system_state) A scanning or probing pattern is identified in the observed network traffic.,Analyzing failed connections in a network to detect unauthorized activity.
D3-CAA-SS2,"(system_state) A connection attempt was made to an IP address not currently assigned to any host, potentially indicating reconnaissance.",Analyzing failed connections in a network to detect unauthorized activity.
D3-CAA-SS3,(system_state) A log entry or alert is generated documenting the suspicious activity for further investigation or response.,Analyzing failed connections in a network to detect unauthorized activity.
D3-DNSTA-SS1,"(system_state) Domain characteristics (e.g., length, entropy, creation date, dynamic DNS) are extracted for analysis.","Analysis of domain name metadata, including name and DNS records, to determine whether the domain is likely to resolve to an undesirable host."
D3-DNSTA-SS2,(system_state) The DNS analysis engine classifies the domain based on extracted features or scoring models.,"Analysis of domain name metadata, including name and DNS records, to determine whether the domain is likely to resolve to an undesirable host."
D3-DNSTA-SS3,(system_state) A detection log or alert is created based on scoring or heuristic results.,"Analysis of domain name metadata, including name and DNS records, to determine whether the domain is likely to resolve to an undesirable host."
D3-FC-SS1,(system_state) Captured packets are reconstructed into an ordered byte stream for further inspection.,Identifying and extracting files from network application protocols through the use of network stream reassembly software.
D3-FC-SS2,(system_state) A file is identified within the reassembled byte stream and extracted.,Identifying and extracting files from network application protocols through the use of network stream reassembly software.
D3-FC-SS3,"(system_state) The extracted file is passed on to downstream analysis tools (e.g., static/dynamic file analysis).",Identifying and extracting files from network application protocols through the use of network stream reassembly software.
D3-ISVA-SS1,"(system_state) The system calculates statistics (e.g., SYN count, ICMP count) over a sampling period.",Analyzing inbound network session or connection attempt volume.
D3-ISVA-SS2,"(system_state) If volume stats exceed defined limits, the event is marked as suspicious (e.g., DoS indicator).",Analyzing inbound network session or connection attempt volume.
D3-ISVA-SS3,"(system_state) A detection log or alert is generated, enabling further triage or automated response.",Analyzing inbound network session or connection attempt volume.
D3-IPCTA-SS1,"(system_state) Key metrics such as frequency, destination, timing, and command type are extracted from IPC traffic.",Analyzing standard inter process communication (IPC) protocols to detect deviations from normal protocol activity.
D3-IPCTA-SS2,"(system_state) IPC activity deviating from the baseline profile is identified as anomalous (e.g., unusual frequency or destination).",Analyzing standard inter process communication (IPC) protocols to detect deviations from normal protocol activity.
D3-IPCTA-SS3,"(system_state) A log entry or alert is generated for abnormal IPC activity, supporting further investigation or response.",Analyzing standard inter process communication (IPC) protocols to detect deviations from normal protocol activity.
D3-NTCD-SS1,"(system_state) The system identifies clusters of hosts that frequently communicate, forming communication 'communities'.",Establishing baseline communities of network hosts and identifying statistically divergent inter-community communication.
D3-NTCD-SS2,(system_state) Anomalous communication between communities that do not normally interact is flagged.,Establishing baseline communities of network hosts and identifying statistically divergent inter-community communication.
D3-NTCD-SS3,(system_state) The anomalous communication is recorded or alerted for investigation or mitigation.,Establishing baseline communities of network hosts and identifying statistically divergent inter-community communication.
D3-PHDURA-SS1,(system_state) The ratio of downloaded to uploaded data for the host is computed during the analysis window.,Detecting anomalies that indicate malicious activity by comparing the amount of data downloaded versus data uploaded by a host.
D3-PHDURA-SS2,"(system_state) The observed ratio is compared to the baseline, and significant deviations are flagged as anomalies.",Detecting anomalies that indicate malicious activity by comparing the amount of data downloaded versus data uploaded by a host.
D3-PHDURA-SS3,"(system_state) A detection alert or log entry is created to support triage, investigation, or automated response.",Detecting anomalies that indicate malicious activity by comparing the amount of data downloaded versus data uploaded by a host.
D3-PMAD-SS1,"(system_state) The system aggregates and computes statistics across metadata groupings (e.g., mean packet size, session duration).",Collecting network communication protocol metadata and identifying statistical outliers.
