D3-CIA-I1,(input) The container image must be available for analysis.,Analyzing a Container Image with respect to a set of policies.
D3-PWA-I2,(input) A password has been provided by the user,"Password authentication is a security mechanism used to verify the identity of a user or entity attempting to access a system or resource by requiring the input of a secret string of characters, known as a password, that is associated with the user or entity."
D3-PWA-C3,(config) Password authentication is enabled on the system,"Password authentication is a security mechanism used to verify the identity of a user or entity attempting to access a system or resource by requiring the input of a secret string of characters, known as a password, that is associated with the user or entity."
D3-PWA-C4,(config) The user's account is active,"Password authentication is a security mechanism used to verify the identity of a user or entity attempting to access a system or resource by requiring the input of a secret string of characters, known as a password, that is associated with the user or entity."
D3-TBA-I1,(input) User credentials are provided,"Token-based authentication is an authentication protocol where users verify their identity in exchange for a unique access token. Users can then access the website, application, or resource for the life of the token without having to re-enter their credentials."
D3-TBA-I2,(input) Authorization server is available,"Token-based authentication is an authentication protocol where users verify their identity in exchange for a unique access token. Users can then access the website, application, or resource for the life of the token without having to re-enter their credentials."
D3-TBA-C3,(config) System is configured to enable token generation,"Token-based authentication is an authentication protocol where users verify their identity in exchange for a unique access token. Users can then access the website, application, or resource for the life of the token without having to re-enter their credentials."
D3-TBA-C4,(config) Secure communication channel between user and authorization server is established,"Token-based authentication is an authentication protocol where users verify their identity in exchange for a unique access token. Users can then access the website, application, or resource for the life of the token without having to re-enter their credentials."
D3-ACH-I1,(input) The application must be installed on the system to apply hardening.,Modifying an application's configuration to reduce its attack surface.
D3-ACH-I2,(input) Information about the application's operating environment must be available.,Modifying an application's configuration to reduce its attack surface.
D3-ACH-C3,(config) Administrator privileges must be enabled to modify application configurations.,Modifying an application's configuration to reduce its attack surface.
D3-DCE-I1,(input) Source code or compiled code must be available to analyze for unreachable segments.,Removing unreachable or 'dead code' from compiled source code.
D3-DCE-I2,(input) The code must support static analysis such as control-flow or data-flow analysis.,Removing unreachable or 'dead code' from compiled source code.
D3-DCE-C3,"(config) Compiler must be configured to perform dead code elimination (e.g., with the -fdce flag).",Removing unreachable or 'dead code' from compiled source code.
D3-EHPV-I1,(input) Thread Information Block (TIB) must be accessible to read the exception registration record.,Validates that a referenced exception handler pointer is a valid exception handler.
D3-EHPV-I2,(input) A candidate exception handler pointer must be present for validation.,Validates that a referenced exception handler pointer is a valid exception handler.
D3-EHPV-C3,(config) A valid handler list must be available either at compile time or generated securely at runtime.,Validates that a referenced exception handler pointer is a valid exception handler.
D3-PAN-I1,(input) The system must contain a pointer value P that is to be protected against tampering.,Comparing the cryptographic hash or derivative of a pointer's value to an expected value.
D3-PAN-I2,(input) A context value C must be available to compute the Pointer Authentication Code (PAC).,Comparing the cryptographic hash or derivative of a pointer's value to an expected value.
D3-PAN-I3,"(input) The system must have access to a valid PAC key (instruction, data, or generic) to compute the authentication code.",Comparing the cryptographic hash or derivative of a pointer's value to an expected value.
D3-PAN-C4,(config) The system architecture must support PAC instructions for pointer signing and verification.,Comparing the cryptographic hash or derivative of a pointer's value to an expected value.
D3-PAN-C5,(config) The developer must configure key management for PAC to be securely and correctly implemented.,Comparing the cryptographic hash or derivative of a pointer's value to an expected value.
D3-PSEP-I1,"(input) The layout of memory segments (e.g., .text, .data, .stack) must be known to distinguish executable from non-executable regions.",Preventing execution of any address in a memory region other than the code segment.
D3-PSEP-I2,"(input) Permissions for each memory segment must be known, specifically whether a segment is marked executable.",Preventing execution of any address in a memory region other than the code segment.
D3-PSEP-C3,"(config) The system must have hardware support for the NX/XD bit and the operating system must support enforcement of execution permissions (e.g., DEP, SafeSEH).",Preventing execution of any address in a memory region other than the code segment.
D3-SAOR-I1,(input) The executable or module supports relocation via the .reloc segment or equivalent.,Randomizing the base (start) address of one or more segments of memory during the initialization of a process.
D3-SAOR-I2,(input) The process must be in its initialization phase to allow memory segment relocation.,Randomizing the base (start) address of one or more segments of memory during the initialization of a process.
D3-SAOR-C3,(config) The system configuration must have ASLR (Address Space Layout Randomization) enabled.,Randomizing the base (start) address of one or more segments of memory during the initialization of a process.
D3-SFCV-I1,(input) A runtime-generated canary value must be available for the process.,Comparing a value stored in a stack frame with a known good value in order to prevent or detect a memory segment overwrite.
D3-SFCV-I2,(input) The function must save the canary value to the stack frame.,Comparing a value stored in a stack frame with a known good value in order to prevent or detect a memory segment overwrite.
D3-SFCV-I3,(input) The canary value must be saved in a trusted system-of-record location for later comparison.,Comparing a value stored in a stack frame with a known good value in order to prevent or detect a memory segment overwrite.
D3-SFCV-C4,(config) The function must be compiled with stack canary protection and the system must support stack canary mechanisms.,Comparing a value stored in a stack frame with a known good value in order to prevent or detect a memory segment overwrite.
D3-CP-I1,(input) A previously established trusted connection to the server is available for extracting and storing its certificate or public key,Persisting either a server's X.509 certificate or public key and comparing it to the server's presented identity during SSL handshakes to validate server authenticity and mitigate man-in-the-middle attacks.
D3-CP-I2,(input) The server must present a valid X.509 certificate or public key for pinning,Persisting either a server's X.509 certificate or public key and comparing it to the server's presented identity during SSL handshakes to validate server authenticity and mitigate man-in-the-middle attacks.
D3-CP-C3,(config) Pinning mechanism must be enabled in the client application,Persisting either a server's X.509 certificate or public key and comparing it to the server's presented identity during SSL handshakes to validate server authenticity and mitigate man-in-the-middle attacks.
D3-PR-I1,(input) A user account must exist for which a password can be rotated,A security policy mandating the periodic change of user account passwords to reduce the risk of unauthorized access due to credential compromise.
D3-PR-I2,(input) The user account password must not be system-locked or immutable,A security policy mandating the periodic change of user account passwords to reduce the risk of unauthorized access due to credential compromise.
D3-PR-C3,(config) The system must have an enforced password rotation policy,A security policy mandating the periodic change of user account passwords to reduce the risk of unauthorized access due to credential compromise.
D3-PR-C4,(config) Password changes must be possible through a centralized management server or domain policy,A security policy mandating the periodic change of user account passwords to reduce the risk of unauthorized access due to credential compromise.
D3-OTP-I1,(input) OTP delivery channel must be accessible by the user,A one-time password is valid for only one user authentication.
D3-OTP-I2,(input) User must possess an OTP token or generator (physical or digital),A one-time password is valid for only one user authentication.
D3-OTP-C3,(config) The OTP token and verification system must be time-synchronized if using time-based OTP,A one-time password is valid for only one user authentication.
D3-MAN-I1,(input) Message content M is available for authentication,Authenticating the sender of a message and ensuring message integrity.
D3-MAN-I2,(input) Sender possesses private key K_priv for digital signature,Authenticating the sender of a message and ensuring message integrity.
D3-MAN-C3,(config) Sender's public key has been verified by a trusted certificate authority,Authenticating the sender of a message and ensuring message integrity.
D3-MENCR-I1,(input) Recipient’s public key is available for asymmetric encryption,Encrypting a message body using a cryptographic key.
D3-MENCR-I2,(input) A shared symmetric cryptographic key is available,Encrypting a message body using a cryptographic key.
D3-MENCR-C3,(config) Message encryption is enabled on the messenger client,Encrypting a message body using a cryptographic key.
D3-MENCR-C4,(config) The certificate authority (CA) is trusted for public key verification,Encrypting a message body using a cryptographic key.
D3-BA-I1,(input) The bootloader image must exist for verification.,Cryptographically authenticating the bootloader software before system boot.
D3-BA-I2,(input) A digital signature for the bootloader must be present.,Cryptographically authenticating the bootloader software before system boot.
D3-BA-C3,(config) The firmware must have Secure Boot enabled to enforce signature verification.,Cryptographically authenticating the bootloader software before system boot.
D3-DENCR-I1,(input) A disk partition must exist for encryption.,Encrypting a hard disk partition to prevent cleartext access to a file system.
D3-DENCR-I2,(input) An encryption key or key generation mechanism must be available.,Encrypting a hard disk partition to prevent cleartext access to a file system.
D3-DENCR-C3,(config) A policy must be in place defining encryption parameters for the disk.,Encrypting a hard disk partition to prevent cleartext access to a file system.
D3-DLIC-I1,(input) The driver component to be validated must exist.,Ensuring the integrity of drivers loaded during initialization of the operating system.
D3-DLIC-I2,(input) The driver must have a valid digital signature.,Ensuring the integrity of drivers loaded during initialization of the operating system.
D3-DLIC-C3,(config) An OS-level policy must be active to enforce signature checks for drivers.,Ensuring the integrity of drivers loaded during initialization of the operating system.
D3-FE-I1,(input) The target file must exist and be accessible.,Encrypting a file using a cryptographic key to protect its contents from unauthorized access.
D3-FE-I2,(input) A cryptographic key or key pair must be available for encryption.,Encrypting a file using a cryptographic key to protect its contents from unauthorized access.
D3-FE-C3,(config) A file encryption policy must be defined to guide encryption procedures.,Encrypting a file using a cryptographic key to protect its contents from unauthorized access.
D3-RFS-I1,(input) The platform must include RF-emitting or RF-sensitive components.,Adding physical barriers to a platform to prevent undesired radio interference.
D3-RFS-I2,(input) Environmental RF threats must be identified or anticipated.,Adding physical barriers to a platform to prevent undesired radio interference.
D3-RFS-C3,(config) A shielding design or specification must exist for implementation.,Adding physical barriers to a platform to prevent undesired radio interference.
D3-SU-I1,(input) The target software component must be installed and identifiable.,Replacing old software on a computer system component with a newer version to improve security and functionality.
D3-SU-I2,(input) An update package or new version of the software must be available.,Replacing old software on a computer system component with a newer version to improve security and functionality.
D3-SU-C3,(config) A policy must be in place authorizing and defining update procedures.,Replacing old software on a computer system component with a newer version to improve security and functionality.
D3-SCP-I1,(input) A configuration mechanism or interface must exist within the system.,Restricting system configuration modifications to a specific user or group of users.
D3-SCP-I2,(input) Identifiable user or group accounts must be present for access assignment.,Restricting system configuration modifications to a specific user or group of users.
D3-SCP-C3,(config) A policy must define which users or groups have permission to modify system settings.,Restricting system configuration modifications to a specific user or group of users.
D3-TBI-I1,(input) The Trusted Platform Module must be present and functional on the platform.,Assuring the integrity of a platform by demonstrating that the boot process starts from a trusted combination of hardware and software and continues until the operating system has fully booted and applications are running.
D3-TBI-I2,(input) Boot components such as BIOS and ROM must be available for measurement.,Assuring the integrity of a platform by demonstrating that the boot process starts from a trusted combination of hardware and software and continues until the operating system has fully booted and applications are running.
D3-TBI-C3,(config) A policy must be in place to enable measurement and attestation of boot integrity.,Assuring the integrity of a platform by demonstrating that the boot process starts from a trusted combination of hardware and software and continues until the operating system has fully booted and applications are running.
D3-CS-I1,(input) A source code repository must exist for credential scanning.,The systematic removal of hard-coded credentials from source code to prevent accidental exposure and unauthorized access.
D3-CS-I2,(input) Hard-coded credentials must be detected within the repository or version history.,The systematic removal of hard-coded credentials from source code to prevent accidental exposure and unauthorized access.
D3-CS-C3,(config) An organizational policy must mandate the removal of hard-coded credentials.,The systematic removal of hard-coded credentials from source code to prevent accidental exposure and unauthorized access.
D3-IRV-I1,(input) An integer variable must exist within the system or application.,Ensuring that an integer is within a valid range.
D3-IRV-I2,(input) A valid minimum and maximum range for the integer must be defined.,Ensuring that an integer is within a valid range.
D3-IRV-C3,(config) A validation policy must require that integer inputs or results are checked for correctness.,Ensuring that an integer is within a valid range.
D3-MBSV-I1,(input) A pointer must be defined and allocated in memory.,Ensuring that a pointer accurately references the beginning of a designated memory block.
D3-MBSV-I2,(input) The memory block must be allocated and its starting address must be known.,Ensuring that a pointer accurately references the beginning of a designated memory block.
D3-MBSV-C3,(config) A memory safety policy must be enabled that enforces pointer alignment verification.,Ensuring that a pointer accurately references the beginning of a designated memory block.
D3-NPC-I1,(input) A pointer variable must be declared and accessible.,Checking if a pointer is NULL before use to prevent runtime errors or crashes.
D3-NPC-I2,(input) There is a possibility that the pointer may be NULL due to initialization or prior operation.,Checking if a pointer is NULL before use to prevent runtime errors or crashes.
D3-NPC-C3,(config) A policy or code standard must require null pointer checks before usage.,Checking if a pointer is NULL before use to prevent runtime errors or crashes.
D3-RN-I1,(input) The memory block must have been freed or deallocated.,"Invalidating all pointers that reference a specific memory block, ensuring that the block cannot be accessed or modified after deallocation."
D3-RN-I2,(input) There must be existing pointers that still reference the freed memory block.,"Invalidating all pointers that reference a specific memory block, ensuring that the block cannot be accessed or modified after deallocation."
D3-RN-C3,(config) A policy must require nullification of pointers after freeing memory.,"Invalidating all pointers that reference a specific memory block, ensuring that the block cannot be accessed or modified after deallocation."
D3-TL-I1,(input) The trusted library must be available and accessible to the development or execution environment.,"A trusted library is a collection of pre-verified and secure code modules or components that are used within software applications to perform specific functions. These libraries are considered reliable and have been vetted for security vulnerabilities, ensuring they do not introduce risks into the application."
D3-TL-I2,"(input) The library's authenticity and integrity must be verified, typically using a hash or signature.","A trusted library is a collection of pre-verified and secure code modules or components that are used within software applications to perform specific functions. These libraries are considered reliable and have been vetted for security vulnerabilities, ensuring they do not introduce risks into the application."
D3-TL-C3,(config) A policy must be in place requiring only verified libraries from trusted sources.,"A trusted library is a collection of pre-verified and secure code modules or components that are used within software applications to perform specific functions. These libraries are considered reliable and have been vetted for security vulnerabilities, ensuring they do not introduce risks into the application."
D3-VI-I1,(input) A variable must be declared in the code before it can be initialized.,Setting variables to a known value before use to ensure predictable behavior and avoid undefined memory access.
D3-VI-I2,(input) The programming language must allow uninitialized variables or have environments where default initialization is not guaranteed.,Setting variables to a known value before use to ensure predictable behavior and avoid undefined memory access.
D3-VI-C3,(config) A code policy must be enabled that enforces variable initialization upon declaration.,Setting variables to a known value before use to ensure predictable behavior and avoid undefined memory access.
D3-VTV-I1,(input) The variable must exist and be assigned a value prior to validation.,"Ensuring that a variable has the correct type before use to prevent logic errors, crashes, or unexpected behavior."
D3-VTV-I2,(input) The expected data type of the variable must be defined.,"Ensuring that a variable has the correct type before use to prevent logic errors, crashes, or unexpected behavior."
D3-VTV-C3,(config) A policy must be in place to enforce type validation of variables.,"Ensuring that a variable has the correct type before use to prevent logic errors, crashes, or unexpected behavior."
D3-TAAN-I1,(input) The domain has an SPF record published in DNS specifying authorized sending IPs.,Validating that server components of a messaging infrastructure are authorized to send a particular message.
D3-TAAN-I2,(input) The domain has a DKIM record in DNS with the public key used for signature verification.,Validating that server components of a messaging infrastructure are authorized to send a particular message.
D3-TAAN-C3,(config) The mail server is configured to sign messages using DKIM.,Validating that server components of a messaging infrastructure are authorized to send a particular message.
D3-DA-I1,(input) The file or sample to be analyzed must be available.,Executing or opening a file in a synthetic 'sandbox' environment to determine if the file is a malicious program or if the file exploits another program such as a document reader.
D3-DA-I2,(input) The file’s execution format or context must be known or inferred.,Executing or opening a file in a synthetic 'sandbox' environment to determine if the file is a malicious program or if the file exploits another program such as a document reader.
D3-DA-C3,(config) A sandbox environment must be properly configured for analysis.,Executing or opening a file in a synthetic 'sandbox' environment to determine if the file is a malicious program or if the file exploits another program such as a document reader.
D3-DA-C4,(config) System observability must be enabled within the sandbox to record behavior.,Executing or opening a file in a synthetic 'sandbox' environment to determine if the file is a malicious program or if the file exploits another program such as a document reader.
D3-EFA-I1,(input) The file or binary must be available for emulation.,Emulating instructions in a file looking for specific patterns.
D3-EFA-I2,(input) The instruction set architecture must be known to emulate correctly.,Emulating instructions in a file looking for specific patterns.
D3-EFA-C3,(config) An emulator must be configured to simulate file execution.,Emulating instructions in a file looking for specific patterns.
D3-EFA-C4,(config) Pattern detection or rule sets must be loaded to evaluate behavior.,Emulating instructions in a file looking for specific patterns.
D3-FCR-I1,"(input) To scan the file, the scanning system must have access to the file in question.",Employing a pattern matching rule language to analyze the content of files.
D3-FCR-I2,(input) The file must be in a format that the content scanning engine can parse and inspect.,Employing a pattern matching rule language to analyze the content of files.
D3-FCR-I3,(input) A rule set (signature database) must be available and loaded into the rule engine for the scan to proceed.,Employing a pattern matching rule language to analyze the content of files.
D3-FCR-C4,(config) The system must have the necessary scanning engine or software capable of interpreting and applying pattern matching rules.,Employing a pattern matching rule language to analyze the content of files.
D3-FH-I1,(input) The file must be available for reading in order to compute or extract its hash.,Employing file hash comparisons to detect known malware.
D3-FH-I2,(input) A database or list of known malware hashes must be present for comparison.,Employing file hash comparisons to detect known malware.
D3-FH-C3,"(config) A hashing utility (e.g., SHA256 calculator) must be available on the system performing the analysis.",Employing file hash comparisons to detect known malware.
D3-HD-I1,"(input) The system must detect or be provided a string to analyze (e.g., a domain, username, or filename).",Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.
D3-HD-I2,(input) The system needs a set of known legitimate strings for comparison to detect similarities or spoofed forms.,Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.
D3-HD-C3,(config) The logic or algorithm for detecting homoglyphs must be implemented and enabled on the system.,Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.
